file_name,gesture_name,gesture_type,description,file_size_kb,folder_name
2xTop.jpg,Double Tap,Touchscreen,"Quickly tap twice in the same spot",3.50,Give access to
Camera.jpg,Camera,Action,"Hand gesture mimicking taking a photo",4.00,Give access to
Flickr4k.jpg,Flick Right,Swiping,"Quick swipe gesture to the right",4.48,Give access to
HorizontalScroll.jpg,Horizontal Scroll,Scrolling,"Horizontal scrolling motion",4.94,Give access to
Shuffling.jpg,Shuffle,Action,"Hands making shuffling motion",6.53,Give access to
ThumbUp.jpg,Thumbs Up,Approval,"Raised thumb showing approval",3.87,Give access to
ZoomInJpg.jpg,Zoom In,Pinch,"Two fingers moving apart to zoom in",3.74,Give access to
3xTop.jpg,Triple Tap,Touchscreen,"Quickly tap three times in the same spot",3.67,Slide show
DoubleTop.jpg,Double Tap,Touchscreen,"Two quick taps in same location",4.32,Slide show
FlickrRight.jpg,Flick Right,Swiping,"Fast rightward swipe motion",4.36,Slide show
HorizontalSpecial.jpg,Horizontal Special,Special,"Special horizontal gesture",7.51,Slide show
Special.jpg,Special,Special,"Unique hand gesture",3.83,Slide show
TouchShield.jpg,Shield,Defensive,"Hand raised like a shield",5.03,Slide show
ZoomInU.jpg,Zoom In (Up),Pinch,"Zoom in gesture moving upward",5.97,Slide show
BumpLeft.jpg,Bump Left,Contact,"Fist bump to the left",4.59,New folder
Drag.jpg,Drag,Action,"Dragging motion with finger",3.84,New folder
FlickrUp.jpg,Flick Up,Swiping,"Quick upward swipe motion",4.14,New folder
Robbo.jpg,Robot,Special,"Robot-like hand movement",4.28,New folder
Bug.jpg,Bug,Special,"Hand gesture representing a bug",3.15,New folder
TouchShield.jpg,Shield,Defensive,"Hand raised in defensive position",4.24,New folder
ZoomOut.jpg,Zoom Out,Pinch,"Two fingers pinching together to zoom out",3.90,New folder
BumpRight.jpg,Bump Right,Contact,"Fist bump to the right",4.82,BumpRight.jpg
FlickDown.jpg,Flick Down,Swiping,"Quick downward swipe motion",4.44,BumpRight.jpg
HorizontalPinch.jpg,Horizontal Pinch,Pinch,"Horizontal pinching motion",7.81,BumpRight.jpg
Shake.jpg,Shake,Action,"Shaking hand gesture",4.21,BumpRight.jpg
ThumbDown.jpg,Thumbs Down,Disapproval,"Thumb pointing down showing disapproval",3.64,BumpRight.jpg
VerbinScroll.jpg,Vertical Scroll,Scrolling,"Vertical scrolling motion",4.71,BumpRight.jpg
ZoomOutU.jpg,Zoom Out (Up),Pinch,"Zoom out gesture moving upward",6.48,BumpRight.jpg